lead_id,conversion_probability_model,priority_tier,sentiment,urgency,objection,product_interest,recommended_action
L00287,0.19685999661004616,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00354,0.19612205824075238,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00380,0.19546936940841828,Low,Positive,Low,None,SIP,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00429,0.1953271711083329,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00109,0.19192402702697886,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00436,0.19146576758515224,Low,Negative,Medium,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00291,0.19137071049667848,Low,Negative,Medium,Pricing,AIF,Address pricing concern (share cost breakdown / discount options)
L00315,0.19037924137956935,Low,Neutral,Low,Pricing,Unclear,Address pricing concern (share cost breakdown / discount options)
L00289,0.18948880370740895,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00334,0.18776235493947302,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00001,0.18629581560076924,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00325,0.18315174490778266,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00274,0.18041103228661484,Low,Positive,Low,None,SIP,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00192,0.17923368718061608,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00195,0.1781653668824586,Low,Neutral,High,None,Unclear,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00208,0.17737954009738377,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00486,0.17691946792186622,Low,Neutral,Medium,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00121,0.17647594907337633,Low,Neutral,High,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00435,0.17585680152936933,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00160,0.17513605863946144,Low,Neutral,Medium,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00056,0.1730755200502662,Low,Neutral,High,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00072,0.17268499883541544,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00200,0.17175443711561592,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00054,0.17114873373959116,Low,Neutral,Low,None,Unclear,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00402,0.17050487331578804,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00438,0.1682926609795226,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00474,0.16636569550627758,Low,Neutral,Medium,Competitor,AIF,Send competitive comparison / differentiation pitch
L00104,0.1656792842927083,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00053,0.16524332095737687,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00035,0.16521530248292102,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00418,0.16479966650288613,Low,Positive,High,None,PMS,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00203,0.1634582027466464,Low,Neutral,Medium,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00009,0.16330649978909523,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00352,0.16301863253126272,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00249,0.16289006624772726,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00337,0.1612438221422213,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00340,0.160736813770631,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00267,0.15957582045398946,Low,Neutral,Medium,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00069,0.15647418920047645,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00269,0.1537234338599187,Low,Neutral,High,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00014,0.15340365522325047,Low,Neutral,Low,None,Unclear,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00122,0.15318580333934373,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00433,0.15208077409337542,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00376,0.15163225485693338,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00417,0.15074346165583866,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00096,0.15056145811732177,Low,Positive,High,None,PMS,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00073,0.14966199439435998,Low,Neutral,Low,None,AIF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00132,0.14664585582227962,Low,Neutral,Medium,Timing,Unclear,"Schedule follow-up for their stated timeline, don't push now"
L00257,0.14592157811755568,Low,Neutral,Low,None,Unclear,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00477,0.14579409522813158,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00025,0.14505632244486238,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00270,0.1441531954291422,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00058,0.14386652636218436,Low,Positive,High,None,SIP,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00395,0.1438491529832413,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00297,0.14330129843714043,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00290,0.14280999282495282,Low,Neutral,Medium,Competitor,SIP,Send competitive comparison / differentiation pitch
L00152,0.14236474772983704,Low,Negative,Low,Trust,AIF,"Send credibility material (track record, testimonials, compliance docs)"
L00207,0.1401510864741605,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00129,0.1395016520631651,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00498,0.1389182811616218,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00437,0.1370491883942112,Low,Positive,High,None,MF,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00128,0.13582478927971772,Low,Neutral,Low,Timing,AIF,"Schedule follow-up for their stated timeline, don't push now"
L00328,0.13416100808408127,Low,Positive,Medium,None,PMS,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00494,0.12969606352557503,Low,Neutral,Low,Competitor,MF,Send competitive comparison / differentiation pitch
L00398,0.12928930397918062,Low,Neutral,Medium,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00234,0.12818512669594875,Low,Neutral,Low,Timing,Unclear,"Schedule follow-up for their stated timeline, don't push now"
L00489,0.12747218019171283,Low,Neutral,Low,Timing,AIF,"Schedule follow-up for their stated timeline, don't push now"
L00061,0.1261904790112697,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00324,0.12460450589506603,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00137,0.12442459744975178,Low,Neutral,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00392,0.12208227572218944,Low,Neutral,High,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00350,0.1205743713184406,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00010,0.12022295243423037,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00490,0.118687416881315,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00097,0.11743841756024924,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00349,0.11683124464703551,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00085,0.116731509209338,Low,Neutral,Low,None,AIF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00167,0.11539639316460454,Low,Positive,Low,None,PMS,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00357,0.11450773187613372,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00368,0.114318538724305,Low,Neutral,Low,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00078,0.11182759087540256,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00484,0.11114006101650512,Low,Negative,Medium,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00248,0.11057255852903213,Low,Negative,High,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00347,0.11010114033774278,Low,Neutral,Low,Trust,PMS,"Send credibility material (track record, testimonials, compliance docs)"
L00263,0.10912287198457381,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00476,0.1086886056454738,Low,Neutral,High,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00095,0.1070220291884076,Low,Negative,High,Pricing,Unclear,Address pricing concern (share cost breakdown / discount options)
L00441,0.10528462906655595,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00258,0.10210488510071476,Low,Negative,Low,Pricing,Unclear,Address pricing concern (share cost breakdown / discount options)
L00168,0.0994151553843807,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00426,0.09901899021775837,Low,Neutral,Low,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00475,0.09890402977919377,Low,Positive,High,None,PMS,"Low score but positive sentiment - light-touch nurture, re-evaluate later"
L00174,0.09770545408429993,Low,Negative,Medium,Competitor,MF,Send competitive comparison / differentiation pitch
L00360,0.09509143764718365,Low,Neutral,Medium,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00066,0.09461202755036913,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00309,0.09368342706482476,Low,Neutral,High,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00278,0.09266265662919557,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00150,0.092525868579771,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00307,0.09033759782003109,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00416,0.08939675312706716,Low,Neutral,Low,Timing,Unclear,"Schedule follow-up for their stated timeline, don't push now"
L00425,0.08909522620572474,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00314,0.08845176111754843,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00115,0.08723410891122299,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00175,0.08696837267008166,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00119,0.08577294788716404,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00451,0.08545816614372344,Low,Negative,Low,Competitor,Unclear,Send competitive comparison / differentiation pitch
L00495,0.08540675840280097,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00389,0.0837621818234233,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00019,0.08203183698668542,Low,Neutral,Low,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00178,0.08093690384540111,Low,Neutral,Medium,Competitor,SIP,Send competitive comparison / differentiation pitch
L00280,0.07936913005513034,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00410,0.07872364225871345,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00169,0.07705028072882066,Low,Negative,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00067,0.07437635151274484,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00339,0.07409100672364242,Low,Neutral,Medium,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00130,0.0737006573994113,Low,Neutral,Low,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00049,0.07290488977133175,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00141,0.07273817858906347,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00133,0.06768198486889292,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00156,0.06496948604579393,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00189,0.06459243928989412,Low,Negative,Low,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00173,0.06368338439105092,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00146,0.06360649325074398,Low,Neutral,High,Competitor,SIP,Send competitive comparison / differentiation pitch
L00311,0.06352654809657897,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00345,0.0633158653728136,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00075,0.06244926979348242,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00029,0.062069831585824076,Low,Neutral,Medium,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00147,0.06132269496722785,Low,Neutral,Low,Trust,AIF,"Send credibility material (track record, testimonials, compliance docs)"
L00268,0.060684644537488036,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00228,0.06000894274867935,Low,Negative,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00405,0.059842143554432715,Low,Neutral,High,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00224,0.059536709909317975,Low,Neutral,High,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00145,0.05910630969164714,Low,Neutral,High,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00446,0.05867678229445339,Low,Negative,Low,Trust,Unclear,"Send credibility material (track record, testimonials, compliance docs)"
L00308,0.05861724019258457,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00022,0.05842671326744181,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00313,0.05796042487589716,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00323,0.05733030613449022,Low,Neutral,Low,None,SIP,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00183,0.05681512602590476,Low,Neutral,Low,None,MF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00227,0.05568401916762429,Low,Negative,Medium,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00470,0.055344461129686835,Low,Neutral,Medium,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00021,0.05438003184586253,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00140,0.05193617375989963,Low,Neutral,Low,Competitor,Unclear,Send competitive comparison / differentiation pitch
L00329,0.0512386231123711,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00026,0.04926081047765116,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00406,0.04915749576940943,Low,Negative,Low,Trust,Unclear,"Send credibility material (track record, testimonials, compliance docs)"
L00251,0.04881532164326715,Low,Neutral,Low,Trust,AIF,"Send credibility material (track record, testimonials, compliance docs)"
L00394,0.048706865091008696,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00164,0.04831006687911699,Low,Neutral,Low,Timing,AIF,"Schedule follow-up for their stated timeline, don't push now"
L00457,0.04783063470846652,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00013,0.04775740897381809,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00032,0.047254111831681225,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00432,0.04664724306610039,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00304,0.046573397221704296,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00162,0.04414438771868529,Low,Negative,Medium,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00393,0.04374259869758709,Low,Negative,High,Competitor,SIP,Send competitive comparison / differentiation pitch
L00020,0.04228730716013896,Low,Neutral,Medium,Competitor,SIP,Send competitive comparison / differentiation pitch
L00298,0.041697463556570204,Low,Neutral,High,Competitor,PMS,Send competitive comparison / differentiation pitch
L00238,0.04159080383559518,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00004,0.040950695331214065,Low,Neutral,Low,Trust,AIF,"Send credibility material (track record, testimonials, compliance docs)"
L00412,0.04070091284386456,Low,Neutral,Medium,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00379,0.03984367773636925,Low,Negative,Low,Timing,AIF,"Schedule follow-up for their stated timeline, don't push now"
L00390,0.038509127336877655,Low,Negative,High,Competitor,MF,Send competitive comparison / differentiation pitch
L00204,0.037648211221221105,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00103,0.037113617652905495,Low,Neutral,Low,None,AIF,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00023,0.03595584020341579,Low,Negative,High,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00388,0.0354117971460454,Low,Neutral,Low,Trust,PMS,"Send credibility material (track record, testimonials, compliance docs)"
L00273,0.035051288970635745,Low,Negative,High,Competitor,PMS,Send competitive comparison / differentiation pitch
L00442,0.03339850683297643,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00447,0.033185334048435156,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00213,0.03228209332614006,Low,Negative,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00450,0.031196365748031092,Low,Neutral,Low,Competitor,PMS,Send competitive comparison / differentiation pitch
L00282,0.030656580579188773,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00466,0.029486026966615425,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00399,0.0288589036863605,Low,Neutral,Medium,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00179,0.028641219651492335,Low,Negative,Low,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00161,0.028347495548694823,Low,Negative,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00491,0.027989174042941715,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00415,0.027676694679303605,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00460,0.027375861346401888,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00041,0.027065885914050822,Low,Neutral,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00230,0.026413521711575027,Low,Neutral,Medium,Competitor,MF,Send competitive comparison / differentiation pitch
L00384,0.02546892137380089,Low,Neutral,Medium,Competitor,SIP,Send competitive comparison / differentiation pitch
L00496,0.025192008920898817,Low,Negative,High,Competitor,MF,Send competitive comparison / differentiation pitch
L00492,0.025120128512783817,Low,Neutral,Low,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00448,0.024726014051560344,Low,Negative,Low,Pricing,PMS,Address pricing concern (share cost breakdown / discount options)
L00367,0.023022918119797085,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00220,0.0222063015575917,Low,Neutral,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00226,0.022038948752825086,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00171,0.021084459984713054,Low,Neutral,Low,Competitor,AIF,Send competitive comparison / differentiation pitch
L00355,0.020865227617288467,Low,Negative,Low,Competitor,MF,Send competitive comparison / differentiation pitch
L00321,0.019300293606267546,Low,Negative,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00362,0.019035442705286752,Low,Negative,Low,Timing,SIP,"Schedule follow-up for their stated timeline, don't push now"
L00107,0.018672631715608772,Low,Neutral,Low,Trust,Unclear,"Send credibility material (track record, testimonials, compliance docs)"
L00265,0.018391809942110204,Low,Neutral,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00079,0.018252384078979743,Low,Neutral,Medium,Competitor,SIP,Send competitive comparison / differentiation pitch
L00351,0.01817000103062824,Low,Neutral,Medium,Competitor,MF,Send competitive comparison / differentiation pitch
L00500,0.017601968719694886,Low,Neutral,Low,None,PMS,"Deprioritize - low conversion likelihood, minimal recent engagement signal"
L00459,0.017410611706982885,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00404,0.016590429873842166,Low,Neutral,Low,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00375,0.015667169616104124,Low,Neutral,Medium,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00482,0.014741791129335376,Low,Neutral,Medium,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00464,0.014458034487480467,Low,Neutral,Medium,Pricing,PMS,Address pricing concern (share cost breakdown / discount options)
L00371,0.014229658347753898,Low,Neutral,High,Competitor,SIP,Send competitive comparison / differentiation pitch
L00408,0.013624331660098424,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00295,0.01290850698529175,Low,Neutral,Low,Timing,PMS,"Schedule follow-up for their stated timeline, don't push now"
L00110,0.012428127665006788,Low,Neutral,Medium,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00279,0.01205257957578849,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00427,0.010342001182104658,Low,Neutral,High,Competitor,AIF,Send competitive comparison / differentiation pitch
L00440,0.009902160114346591,Low,Neutral,Low,Pricing,SIP,Address pricing concern (share cost breakdown / discount options)
L00400,0.009646947626183785,Low,Negative,Low,Pricing,PMS,Address pricing concern (share cost breakdown / discount options)
L00047,0.009340193812100573,Low,Neutral,High,Pricing,PMS,Address pricing concern (share cost breakdown / discount options)
L00114,0.009029051212760656,Low,Neutral,Low,Trust,SIP,"Send credibility material (track record, testimonials, compliance docs)"
L00093,0.00861902777702919,Low,Negative,Low,Pricing,MF,Address pricing concern (share cost breakdown / discount options)
L00116,0.008516549869171856,Low,Neutral,Low,Competitor,SIP,Send competitive comparison / differentiation pitch
L00488,0.007103157418909866,Low,Neutral,Medium,Competitor,PMS,Send competitive comparison / differentiation pitch
L00387,0.005921902432530669,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00414,0.005483810343796958,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
L00396,0.005216549060518966,Low,Neutral,Low,Competitor,PMS,Send competitive comparison / differentiation pitch
L00444,0.004726473430699323,Low,Neutral,Low,Timing,MF,"Schedule follow-up for their stated timeline, don't push now"
L00316,0.004705936743995647,Low,Neutral,Low,Trust,MF,"Send credibility material (track record, testimonials, compliance docs)"
